Date,stocks,t1y,t10y,hyield,cpi,ppi,oil,indpro,pce
1997-01-31,0.0617859046226301,0.00459684757582135,0.0053690810897653,0.00775636578994976,0.00188560653676939,0.00464756003098366,-0.00396353547364259,0.0012602693825805,0.00614621322916853
1997-02-28,0.00956557344598363,0.00467013391063009,0.00539341915778535,0.00763606683116014,0.00188205771643646,-0.0092521202775635,-0.117389574214087,0.0120448980254408,0.00419510938563739
1997-03-31,-0.0441222029876425,0.00495488251617404,0.0056852464519217,0.00798874038206732,0.000626174076393315,-0.00933852140077818,-0.0545536519386836,0.00704764936463809,0.00364622460010633
1997-04-30,0.0626029406875197,0.0048572998672296,0.00552317246074674,0.00790062982631357,0.000625782227784644,-0.00235663786331497,-0.0605627086313781,0.000260967048315575,0.000949320870454073
1997-05-31,0.0632072317086696,0.00475966981354636,0.00548263354641354,0.00764408899615154,0,0.00314960629921268,0.0568527918781727,0.00600557564355086,0.00027358284088419
1997-06-30,0.0411031088631082,0.00467013391063009,0.0053528540743295,0.00754780193300464,0.00187617260787976,-0.00156985871271587,-0.0749279538904899,0.00489583117722758,0.00618128111153649
1997-07-31,0.0792639899635728,0.00449094232107372,0.00495488251617404,0.00721847353112581,0.00124843945068664,-0.00235849056603776,0.0207684319833852,0.0075193982542785,0.00993077452792579
1997-08-31,-0.0518032795213059,0.00460499182207719,0.00521487154147415,0.0073952532578716,0.00249376558603487,0.00236406619385332,0.0147507629704984,0.0105286829946436,0.00696213888390451
1997-09-30,0.0480905130411604,0.00450723907131656,0.00503616521485584,0.00721847353112581,0.00248756218905455,0.00235849056603765,-0.00751879699248115,0.00902066303063331,0.00245910403079219
1997-10-31,-0.0245033128413653,0.00441759058070179,0.0048084907691468,0.00733902198726866,0.00186104218362293,0.00235294117647067,0.0772727272727272,0.00855316775035875,0.0063282138794083
1997-11-30,0.0386965423237782,0.00454797516432515,0.00482476178569669,0.00729081126058384,0.00123839009287918,0.000782472613458651,-0.0534458509142052,0.00874258149393348,0.00423938387621003
1997-12-31,0.0190718236326672,0.00453982860647395,0.00473525488719639,0.0072425889938823,0.000618429189857883,-0.00860046911649737,-0.0921248142644875,0.00308485615017839,0.005487933581932
1998-01-31,0.0128783068428695,0.00431974657715761,0.00455612139186012,0.00707372009498908,0.0012360939431395,-0.0110410094637223,-0.0878341516639388,0.00508516495581679,-0.000349870547897257
1998-02-28,0.0692943356245994,0.00445834485408025,0.00462942258030119,0.00708176468222721,0,-0.00318979266347696,-0.0394736842105263,0.00117861881972536,0.00594988100237992
1998-03-31,0.0487835597976995,0.00445834485408025,0.00467013391063009,0.00708980894817657,0,-0.00239999999999996,-0.0585305105853051,0.000834972843283488,0.00462737457379458
1998-04-30,0.0127908738343876,0.00445019466080399,0.00467827518695385,0.00721847353112581,0.00123456790123444,0.00160384923817158,0.0152116402116402,0.0035379280112553,0.00656277056277044
1998-05-31,-0.0207690258547516,0.0044664947167159,0.00458055809286173,0.00731491806604856,0.00246609124537622,0.00160128102481982,-0.0286644951140065,0.0064345560933885,0.00867037107123814
1998-06-30,0.042573866038079,0.00443389328221122,0.00448279345018321,0.0073952532578716,0.00123001230012321,-0.00239808153477217,-0.0798122065727699,-0.0063093382296131,0.00578172701379764
1998-07-31,-0.0135139874437477,0.00443389328221122,0.004531681718277,0.00741131645304982,0.00245700245700231,0.000801282051282159,0.032798833819242,-0.00352973057647699,0.00312012480499235
1998-08-31,-0.141179348073529,0.00408309327100653,0.00416472936293122,0.00846866677672198,0.00122549019607843,-0.00560448358686949,-0.0494001411432604,0.0205121379164737,0.00598417742917023
1998-09-30,0.0636394561575828,0.0036416839202007,0.00366623213983597,0.00854854358640011,0.000611995104039087,-0.0032206119162641,0.115812917594655,-0.00177655842403524,0.0068559905898169
1998-10-31,0.0810810851710151,0.00345338109326021,0.00382981026619356,0.00909883328094252,0.00244648318042806,0.00161550888529893,-0.0379241516966067,0.00797156953299227,0.00567442170966981
1998-11-30,0.0556818192374373,0.00373985879175787,0.00391154937567872,0.00839675059132894,0.00122025625381328,-0.00322580645161297,-0.100968188105118,-0.000557630995790315,0.00280460685718076
1998-12-31,0.0654221866964413,0.00373985879175787,0.00383798567481297,0.00858847013254183,0.00182815356489963,-0.00647249190938504,-0.126923076923077,0.00380496400770158,0.00918463600708286
1999-01-31,0.0352251224308102,0.00372349964709406,0.00384616075053712,0.00851659665830362,0.00182481751824803,0.000814332247557115,0.103083700440529,0.00460256126073655,0.000147584533141121
1999-02-28,-0.0320681465751276,0.00402592825427761,0.00436052070403714,0.00871618200101665,0,-0.00488201790073239,-0.0407348242811502,0.00531105131096488,0.00477119575019258
1999-03-31,0.0414678969439015,0.00389520421575162,0.00432790206470113,0.0086682995246381,0.000607164541590821,0.00245298446443165,0.222314737718568,0.0017944529675753,0.00514017166541558
1999-04-30,0.0379746887591719,0.00394423570424696,0.00441759058070179,0.00834879221702778,0.00667475728155331,0.00815660685154973,0.179155313351498,0.00255639594411594,0.0103738818448951
1999-05-31,-0.0228660864692674,0.0040994231444611,0.00464570810229237,0.00864435402387986,0.000602772754671355,0.00889967637540456,0.02368573079145,0.00733446661219905,0.00478822546436142
1999-06-30,0.055378779630274,0.00418105259989865,0.00478408177393241,0.00881191287398786,0,0.00400962309542896,0.0112866817155757,-0.00162758322967893,0.0045575207087345
1999-07-31,-0.0310219034842987,0.0042300143522358,0.00487356693268182,0.00878798441386563,0.00421686746987948,0.0039936102236422,0.121651785714286,0.0062992865394651,0.00439357519221906
